,imed_reg_code,n_significativo,1,2,3,4,cluster,concentracao,distancia
124,240004,0.6470588235294118,0.0,0.0,0.35294117647058826,0.0,3,0.6550311015094143,55.4926070854132
125,240005,0.5294117647058824,0.0,0.0,0.47058823529411764,0.0,3,0.6141356769947383,107.34942389823252
126,240006,0.5294117647058824,0.0,0.0,0.47058823529411764,0.0,3,0.6141356769947383,76.20677143216217
127,240007,0.7647058823529411,0.058823529411764705,0.0,0.17647058823529413,0.0,3,0.7240313897112453,9.81218530104337
128,240008,0.23529411764705882,0.17647058823529413,0.0,0.5882352941176471,0.0,3,0.5391265523477459,6.767290712019112
129,240009,0.4117647058823529,0.17647058823529413,0.0,0.4117647058823529,0.0,3,0.46130550415759175,34.00834187409601
130,240010,0.5294117647058824,0.0,0.0,0.47058823529411764,0.0,3,0.6141356769947383,17.335793706395073
131,240011,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.5882352941176471,0.0,3,0.5144957554275265,79.26874537056281
132,250001,0.7647058823529411,0.0,0.0,0.17647058823529413,0.058823529411764705,3,0.7240313897112453,24.240175574193483
133,250002,0.5882352941176471,0.0,0.0,0.4117647058823529,0.0,3,0.6280634265900771,17.13192786514608
134,250003,1.0,0.0,0.0,0.0,0.0,1,1.0,42.26454509038229
135,250004,0.6470588235294118,0.0,0.0,0.35294117647058826,0.0,3,0.6550311015094143,51.11441178161394
136,250005,0.7058823529411765,0.0,0.0,0.29411764705882354,0.0,3,0.6935191836795055,31.982968960860468
137,250006,0.35294117647058826,0.058823529411764705,0.0,0.29411764705882354,0.29411764705882354,3,0.3553837051057227,52.328313549301214
138,250007,0.8823529411764706,0.0,0.0,0.11764705882352941,0.0,3,0.8605140493133996,78.90586963792602
139,250008,1.0,0.0,0.0,0.0,0.0,1,1.0,79.48363736559659
140,250009,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,1,0.9282196375329118,10.821416012925276
141,250010,1.0,0.0,0.0,0.0,0.0,1,1.0,65.7905277568027
142,250011,0.6470588235294118,0.35294117647058826,0.0,0.0,0.0,1,0.6550311015094143,55.08967161446262
143,250012,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.0,0.0,1,0.7240313897112453,51.47901244702106
144,250013,1.0,0.0,0.0,0.0,0.0,1,1.0,41.0899233473554
145,250014,1.0,0.0,0.0,0.0,0.0,1,1.0,6.337957629500254
146,250015,0.9411764705882353,0.0,0.0,0.0,0.058823529411764705,4,0.9282196375329118,7.155392008202245
147,260001,0.0,0.0,0.0,0.9411764705882353,0.058823529411764705,3,0.9282196375329118,4.9203992779457355
148,260002,0.5294117647058824,0.0,0.0,0.47058823529411764,0.0,3,0.6141356769947383,60.08688487590325
149,260003,0.0,0.0,0.0,1.0,0.0,3,1.0,4.533328626089752
150,260004,0.058823529411764705,0.0,0.0,0.9411764705882353,0.0,3,0.9282196375329118,62.32637894167826
151,260005,0.058823529411764705,0.0,0.0,0.9411764705882353,0.0,3,0.9282196375329118,33.7710638118967
152,260006,0.23529411764705882,0.0,0.0,0.7647058823529411,0.0,3,0.7417364831128523,44.85398357034504
153,260007,0.0,0.0,0.0,1.0,0.0,3,1.0,41.146215505638864
154,260008,0.47058823529411764,0.0,0.0,0.5294117647058824,0.0,3,0.6141356769947383,48.156528195387274
155,260009,0.0,0.0,0.0,1.0,0.0,3,1.0,7.544934977658799
156,260010,0.0,0.0,0.0,1.0,0.0,3,1.0,14.02547452155793
157,260011,0.7058823529411765,0.0,0.0,0.29411764705882354,0.0,3,0.6935191836795055,92.40572083534883
158,260012,0.8235294117647058,0.0,0.0,0.17647058823529413,0.0,3,0.7979211744853256,56.04969915897657
159,260013,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,100.71113645106857
160,260014,1.0,0.0,0.0,0.0,0.0,1,1.0,24.716906904464555
161,260015,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,71.69479509544048
162,260016,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,3,0.9282196375329118,109.62408245928243
163,260017,0.8235294117647058,0.0,0.0,0.058823529411764705,0.11764705882352941,4,0.7870051858976265,88.88441327944113
164,260018,0.0,0.0,0.0,1.0,0.0,3,1.0,38.21771002640596
165,270001,0.11764705882352941,0.0,0.0,0.7647058823529411,0.11764705882352941,3,0.718032683278453,23.474739195701407
166,270002,0.35294117647058826,0.0,0.0,0.6470588235294118,0.0,3,0.6550311015094143,43.81044717468692
167,270003,0.5882352941176471,0.0,0.0,0.4117647058823529,0.0,3,0.6280634265900771,51.69770437436249
168,270004,0.7647058823529411,0.0,0.0,0.23529411764705882,0.0,3,0.7417364831128523,48.80521383727005
169,270005,0.17647058823529413,0.0,0.0,0.8235294117647058,0.0,3,0.7979211744853256,60.193443611561285
170,270006,0.6470588235294118,0.0,0.0,0.35294117647058826,0.0,3,0.6550311015094143,55.790463481325084
171,270007,0.0,0.0,0.0,1.0,0.0,3,1.0,6.509971586960628
172,270008,1.0,0.0,0.0,0.0,0.0,1,1.0,35.21908709748156
173,270009,0.17647058823529413,0.0,0.0,0.8235294117647058,0.0,3,0.7979211744853256,67.22839982246629
