imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Mamanguape - Rio Tinto,250003,148357.802504,-0.29085243984534187,nordeste,0
Itabaiana,250004,63753.31175000001,-0.3638750355971806,nordeste,0
Campina Grande,250005,931376.7193609999,-0.22673918264930373,nordeste,0
Cuité - Nova Floresta,250006,93945.32509700001,-0.1174418934229353,nordeste,3
Monteiro,250007,56261.812517000006,-0.3487535861999287,nordeste,0
Sumé,250008,50438.907963000005,0.5598908493049647,nordeste,0
Patos,250009,265946.903487,0.03189592809656992,nordeste,0
Itaporanga,250010,122107.57574800002,-0.056576903287512526,nordeste,0
Catolé do Rocha - São Bento,250011,118344.00627,0.7165413725446266,nordeste,0
Pombal,250012,65066.772294999995,0.1528541182837311,nordeste,0
Princesa Isabel,250013,62855.512667999996,-0.07273834879938797,nordeste,0
Sousa,250014,139757.42990999998,0.3907535677985961,nordeste,0
Cajazeiras,250015,153774.930903,0.7659933044270889,nordeste,0
Recife,260001,4016539.695079,-0.4818498979314536,nordeste,3
Goiana – Timbaúba,260002,340065.78466000006,-0.5134273622845622,nordeste,0
Palmares,260003,260124.782594,-0.8645570724833749,nordeste,3
Limoeiro,260004,226373.37741000002,-0.39087316470756184,nordeste,0
Vitória de Santo Antão,260005,207936.9037,-0.7521787357710688,nordeste,0
Carpina,260006,183777.09359,-0.478269164103435,nordeste,0
Barreiros - Sirinhaém,260007,161275.69727,-0.6326974834405086,nordeste,3
Surubim,260008,138827.15985,-0.6666751364821982,nordeste,0
Caruaru,260009,1143502.4863800001,-0.7404432603132792,nordeste,3
Garanhuns,260010,559153.8110999998,-0.6394173800184266,nordeste,3
Arcoverde,260011,381987.26514,-0.5806645006655219,nordeste,0
Belo Jardim – Pesqueira,260012,270946.71656000003,-0.7853290410971588,nordeste,0
Serra Talhada,260013,331597.202674,-0.6131844854522684,nordeste,0
Afogados da Ingazeira,260014,187106.129848,-0.04179187183293474,nordeste,0
Petrolina,260015,512192.2046,-0.36116829538010553,nordeste,0
Araripina,260016,336838.86040999996,-0.6608385879395948,nordeste,0
Salgueiro,260017,193058.36722900002,0.03489871404558813,nordeste,0
Escada - Ribeirão,260018,165768.42274599997,-1.0491402840017336,nordeste,3
Maceió,270001,1328339.1964320005,-0.2837820901099766,nordeste,0
Porto Calvo - São Luís do Quitunde,270002,213220.69570800004,-0.8241180366070163,nordeste,0
Penedo,270003,195167.849766,-0.7806243750869631,nordeste,0
São Miguel dos Campos,270004,186218.698957,-0.5422149029590724,nordeste,0
União dos Palmares,270005,151747.64067900003,-0.49364122331149746,nordeste,0
Atalaia,270006,121125.36878599998,-0.5293267632476154,nordeste,0
Arapiraca,270007,565424.86768,-0.13883155378579992,nordeste,3
Palmeira dos Índios,270008,169330.76583999998,-0.7207376126652034,nordeste,0
Delmiro Gouveia,270009,158439.567114,-0.581694032846086,nordeste,3
Santana do Ipanema,270010,143255.25791,-0.4731092619878531,nordeste,0
Pão de Açúcar - Olho d'Água das Flores – Batalha,270011,118822.074752,-0.9164970109625656,nordeste,0
Aracaju,280001,1237324.106538,-1.1260901383102278,nordeste,3
Estância,280002,243854.606175,-1.1260901383102278,nordeste,0
Propriá,280003,158147.453095,-1.1260901383102278,nordeste,3
Itabaiana,280004,249607.545829,-1.1260901383102278,nordeste,3
Lagarto,280005,254692.5906,-1.1260901383102278,nordeste,3
Nossa Senhora da Glória,280006,175405.68509699998,-1.1260901383102278,nordeste,3
Salvador,290001,4084138.4268900002,0.5302826174361542,nordeste,0
Alagoinhas,290002,511144.4709700001,-0.14331954129294153,nordeste,0
Santo Antônio de Jesus,290003,291368.26246600004,0.9252759261552574,nordeste,0
Cruz das Almas,290004,284419.79349999997,0.16811500025886564,nordeste,0
Valença,290005,260522.68494999997,0.15859401152231467,nordeste,0
Nazaré – Maragogipe,290006,185483.24923000002,-0.3008389504725855,nordeste,0
Ilhéus – Itabuna,290007,630044.88406,0.936104282460976,nordeste,0
Teixeira de Freitas,290008,463055.64130400005,-0.3495233022823841,nordeste,0
Eunápolis - Porto Seguro,290009,398006.10543,0.15130728623673736,nordeste,0
Camacan,290010,128377.17958,0.3359556086291907,nordeste,0
Vitória da Conquista,290011,807168.5889399999,-0.0680274973714387,nordeste,0
Jequié,290012,335632.69826100004,0.8610495076676784,nordeste,0
Brumado,290013,223982.71154999998,0.09155897122751913,nordeste,0
Ipiaú,290014,218504.67817,-0.24208112556764672,nordeste,0
Itapetinga,290015,155342.98423,-0.04687569099427678,nordeste,0
Guanambi,290016,466837.04169399996,0.13211506885920113,nordeste,0
Bom Jesus da Lapa,290017,234019.08669999999,-0.10082514759514823,nordeste,0
Barreiras,290018,558661.119109,-0.655297393188786,nordeste,0
Santa Maria da Vitoria,290019,132909.28577999998,-0.6370789835106607,nordeste,0
Irecê,290020,403244.60797899996,-0.604898016599377,nordeste,0
Xique-Xique – Barra,290021,217720.62055999998,-0.7940904237378685,nordeste,0
Juazeiro,290022,519402.68434,-0.45598839988371087,nordeste,3
Senhor do Bonfim,290023,292848.60513000004,-0.3565680996669431,nordeste,0
Paulo Afonso,290024,196770.343708,-0.4531333756009981,nordeste,0
Ribeira do Pombal,290025,192354.02113,-0.11874168048391828,nordeste,0
Euclides da Cunha,290026,184569.18926000004,-0.678510814048643,nordeste,0
Cícero Dantas,290027,127117.44118,-0.34720615237992114,nordeste,3
Jeremoabo,290028,96341.81287,-0.48929920387079007,nordeste,3
