imedreg,imedreg_codepopulacao,incidencia_normalizada,regiao,cluster
Governador Valadares,310020,449625.61725700006,-0.38717273445024836,sudeste,3
Guanhães,310021,192563.19338,-0.5393505770394935,sudeste,0
Mantena,310022,64555.720241,-0.3118686113280108,sudeste,0
Aimorés - Resplendor,310023,58250.58644,-0.43809280544630747,sudeste,0
Ipatinga,310024,648876.4022819999,-0.22066224291971998,sudeste,0
Caratinga,310025,231827.03051900002,-0.40332816046008346,sudeste,0
João Monlevade,310026,148813.19643,-0.2655873792251285,sudeste,0
Juiz de Fora,310027,746206.3141799999,-0.40107836698379257,sudeste,0
Manhuaçu,310028,352970.67047899996,-0.4291423002829618,sudeste,0
Ubá,310029,288143.317461,-0.4859056851154224,sudeste,0
Ponte Nova,310030,179575.350045,-0.5232386537535272,sudeste,0
Muriaé,310031,184863.501644,-0.20542794378996235,sudeste,3
Cataguases,310032,180524.02673000004,-0.46589973665599616,sudeste,0
Viçosa,310033,168880.87934999997,-0.49015348794033675,sudeste,0
Carangola,310034,111822.93782600001,-0.40212293238728575,sudeste,0
São João Nepomuceno - Bicas,310035,72341.76615899999,-0.39779356995977677,sudeste,0
Além Paraíba,310036,56592.475901000005,-0.21688332368927568,sudeste,0
Barbacena,310037,236771.582069,0.3392252206587228,sudeste,4
Conselheiro Lafaiete,310038,351752.384952,-0.4663411656035558,sudeste,0
São João del Rei,310039,186840.932844,-0.4874165300767717,sudeste,0
Varginha,310040,202407.797326,-0.4874156311506127,sudeste,0
Passos,310041,267128.45035400003,-0.5011350497034213,sudeste,3
Alfenas,310042,258663.18437899995,-0.5235903002821685,sudeste,3
Lavras,310043,229927.86098699996,-0.4943453585331353,sudeste,3
Guaxupé,310044,160599.35241,-0.4726744194144396,sudeste,3
Três Corações,310045,133436.031399,-0.4383245220157707,sudeste,3
Três Pontas - Boa Esperança,310046,123788.331647,-0.47994101122392585,sudeste,3
São Sebastião do Paraíso,310047,117037.80936,-0.5214421095946394,sudeste,0
Campo Belo,310048,89676.33284000002,-0.5342097674094789,sudeste,3
Piumhi,310049,53684.384278,-0.5440412498103032,sudeste,0
Pouso Alegre,310050,563629.9836259999,-0.3672823859313898,sudeste,3
Poços de Caldas,310051,277360.380068,-0.40735624318302954,sudeste,0
Itajubá,310052,201606.60566300002,-0.5003099799351154,sudeste,0
São Lourenço,310053,187804.77343100004,-0.3985114561241157,sudeste,3
Caxambu - Baependi,310054,72625.400966,-0.49548241081678507,sudeste,3
Uberaba,310055,465988.712444,-0.4437651765476437,sudeste,3
Araxá,310056,182123.327045,-0.26326571414041805,sudeste,3
Frutal,310057,119424.98165599999,-0.5145113716939643,sudeste,0
Iturama,310058,68477.692718,-0.5440412498103032,sudeste,3
Uberlândia,310059,964012.5726859999,-0.30728976738151986,sudeste,3
Ituiutaba,310060,152835.680911,-0.5036608950409067,sudeste,0
Monte Carmelo,310061,75886.226818,-0.5324231825396586,sudeste,0
Patos de Minas,310062,497149.8585720001,-0.4265403406943407,sudeste,3
