imedreg,imedreg_codepopulacao,prevalencia_normalizada,regiao,cluster
Ponte Nova,310030,179575.350045,-0.6158069288299225,sudeste,0
Muriaé,310031,184863.501644,0.11220734435662033,sudeste,0
Cataguases,310032,180524.02673000004,-0.3209847525056004,sudeste,0
Viçosa,310033,168880.87934999997,-0.7461130644115542,sudeste,0
Carangola,310034,111822.93782600001,-0.271428433385071,sudeste,0
São João Nepomuceno - Bicas,310035,72341.76615899999,-0.13593612202329017,sudeste,0
Além Paraíba,310036,56592.475901000005,0.28610565535856064,sudeste,0
Barbacena,310037,236771.582069,-1.2306817946435145,sudeste,0
Conselheiro Lafaiete,310038,351752.384952,-0.47859696042192895,sudeste,0
São João del Rei,310039,186840.932844,-1.068352137272143,sudeste,3
Varginha,310040,202407.797326,-0.6533813470679095,sudeste,0
Passos,310041,267128.45035400003,-0.8959421273036169,sudeste,3
Alfenas,310042,258663.18437899995,-0.8639200984462526,sudeste,3
Lavras,310043,229927.86098699996,-1.4714291722350181,sudeste,3
Guaxupé,310044,160599.35241,-0.6020717527076609,sudeste,3
Três Corações,310045,133436.031399,-0.9454259154530205,sudeste,3
Três Pontas - Boa Esperança,310046,123788.331647,-0.5875888938048032,sudeste,3
São Sebastião do Paraíso,310047,117037.80936,-0.7410442783420123,sudeste,0
Campo Belo,310048,89676.33284000002,-0.5904001103599538,sudeste,3
Piumhi,310049,53684.384278,-0.45528908642013133,sudeste,0
Pouso Alegre,310050,563629.9836259999,-0.16979602827562165,sudeste,0
Poços de Caldas,310051,277360.380068,-0.9678889419193213,sudeste,0
Itajubá,310052,201606.60566300002,-0.7843032358907244,sudeste,0
São Lourenço,310053,187804.77343100004,-0.5223684842362958,sudeste,3
Caxambu - Baependi,310054,72625.400966,-1.088151508528762,sudeste,3
Uberaba,310055,465988.712444,-0.27268434470747527,sudeste,0
Araxá,310056,182123.327045,-0.13007405122575483,sudeste,0
Frutal,310057,119424.98165599999,-0.006871283554656776,sudeste,0
Iturama,310058,68477.692718,-0.35800536723167015,sudeste,0
Uberlândia,310059,964012.5726859999,1.5952355923285917,sudeste,0
Ituiutaba,310060,152835.680911,0.4209173799680824,sudeste,0
Monte Carmelo,310061,75886.226818,0.10124944274589179,sudeste,0
Patos de Minas,310062,497149.8585720001,0.20037386038475066,sudeste,4
Unaí,310063,185549.39930600004,-0.45591637602474755,sudeste,3
Patrocínio,310064,142091.802488,0.07663648745033914,sudeste,0
Divinópolis,310065,747289.9483659999,-0.9432037859508317,sudeste,0
Formiga,310066,169039.18772299998,-0.10401410078748258,sudeste,0
Dores do Indaiá,310067,141476.017624,-0.6857131796908726,sudeste,3
Pará de Minas,310068,142750.33332600002,-1.2306903160417757,sudeste,0
Oliveira,310069,115968.10467999999,-0.6190572933345262,sudeste,3
Abaeté,310070,39168.402931000004,-1.348371829757665,sudeste,0
Vitória,320001,2072647.84414,1.2335354531073228,sudeste,1
Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,320002,230411.19048999995,1.5561242178074441,sudeste,1
São Mateus,320003,296587.73153,-0.03348264419681392,sudeste,2
Linhares,320004,364624.53661,1.652600373287663,sudeste,1
Colatina,320005,321609.22273999994,2.081146528409174,sudeste,1
Nova Venécia,320006,138784.0995,0.4788155572827984,sudeste,0
Cachoeiro de Itapemirim,320007,441441.07489,1.5197053370001203,sudeste,0
Alegre,320008,197946.24655400004,0.3246778531920645,sudeste,0
Rio de Janeiro,330001,12607706.687149998,-1.0729760822373382,sudeste,0
Angra dos Reis,330002,277132.96929,-0.3792886391239151,sudeste,0
Rio Bonito,330003,139402.97464,-0.285452010077416,sudeste,0
Volta Redonda - Barra Mansa,330004,644039.2948200001,0.4124395854660029,sudeste,0
Resende,330005,199896.71120999998,-0.05123417220643699,sudeste,0
Valença,330006,171525.86823999998,-0.8211740729303864,sudeste,0
Petrópolis,330007,512335.62458999996,-0.08847687065583937,sudeste,0
Nova Friburgo,330008,331452.5413200001,-0.02617237616884959,sudeste,0
Três Rios - Paraíba do Sul,330009,150133.10261,1.0173469311789283,sudeste,0
Campos dos Goytacazes,330010,655023.65411,-0.7914015485544406,sudeste,0
Itaperuna,330011,196872.82127999997,0.3881062651035265,sudeste,0
Santo Antônio de Pádua,330012,115327.92146999999,0.0327138442123377,sudeste,0
Cabo Frio,330013,627483.79756,-0.9738351397425521,sudeste,0
Macaé - Rio das Ostras,330014,737854.89237,-0.5929236723590043,sudeste,0
São Paulo,350001,21736870.050039995,-0.5391998087185237,sudeste,0
Santos,350002,1932461.87547,-0.19679897579685515,sudeste,0
Sorocaba,350003,1851230.635015,-0.4826696176570051,sudeste,0
Itapeva,350004,353333.33601999993,-0.5976633940090325,sudeste,0
Registro,350005,252742.88747399996,0.18648883351648643,sudeste,0
Itapetininga,350006,253807.95064,-0.2054952444877785,sudeste,0
Avaré,350007,235384.23760900003,-0.735325798650214,sudeste,0
Tatuí,350008,168051.73278600004,-0.8516830810854015,sudeste,0
Bauru,350009,655028.1845099999,0.49786096551842274,sudeste,0
Jaú,350010,361846.01398,-0.43426033756784144,sudeste,0
Botucatu,350011,272832.22103300004,-0.21020357761193284,sudeste,0
Lins,350012,166621.99388900003,0.31119248446093745,sudeste,0
Marília,350013,389917.4815300001,-0.3664170074584294,sudeste,0
Assis,350014,247731.82627299998,-0.6338780904088668,sudeste,0
Ourinhos,350015,239569.00241600006,-0.4811635639564451,sudeste,0
Tupã,350016,126699.439137,-1.0412258409191353,sudeste,0
Piraju,350017,56719.470488,-0.9820104550288712,sudeste,0
Presidente Prudente,350018,537996.963317,-0.4265108535442847,sudeste,0
Adamantina - Lucélia,350019,134555.958518,-0.7941824976706312,sudeste,0
Dracena,350020,134725.326804,-0.11688312485228405,sudeste,0
Presidente Epitácio-Presidente Venceslau,350021,96649.691192,-1.028941790229106,sudeste,0
Araçatuba,350022,316873.794905,0.5676666802970891,sudeste,0
Birigui - Penápolis,350023,293098.942452,-0.008703304248653015,sudeste,0
Andradina,350024,196183.10761,-0.3855037149379279,sudeste,0
São José do Rio Preto,350025,924788.6894919999,1.4633688457852947,sudeste,0
Catanduva,350026,261411.25936199998,-0.1909306946353882,sudeste,0
Votuporanga,350027,172918.727057,0.9257672799732671,sudeste,0
Jales,350028,110988.30905000003,0.3489579395835441,sudeste,0
Fernandópolis,350029,110155.622522,0.8187182196747274,sudeste,0
Santa Fé do Sul,350030,49000.615792000004,0.24845695188655315,sudeste,0
Ribeirão Preto,350031,1544148.811686,-0.1355289250111074,sudeste,0
Barretos,350032,427062.3927650001,0.1958565422874591,sudeste,0
Franca,350033,429343.01302300004,-0.5616763325425932,sudeste,0
São Joaquim da Barra – Orlândia,350034,166586.78222000002,-0.04084373265012642,sudeste,0
Ituverava,350035,126054.65502,-0.976806206170812,sudeste,0
Araraquara,350036,628520.489836,-0.335732404154335,sudeste,0
São Carlos,350037,526111.7132,-0.32042504340012173,sudeste,0
Campinas,350038,3244477.4976299996,-0.18683297436249285,sudeste,0
Jundiaí,350039,993474.7307499999,-0.33832380989693345,sudeste,0
Piracicaba,350040,612226.438651,0.6771470705920872,sudeste,0
Bragança Paulista,350041,482949.73968999996,-0.4392205607092371,sudeste,0
Limeira,350042,380966.92931,-0.06336083386354949,sudeste,0
Mogi Guaçu,350043,330455.44483,0.053733390834627415,sudeste,0
São João da Boa Vista,350044,317003.98011999996,-0.4549168079945493,sudeste,0
Araras,350045,274649.950871,0.18401344067596595,sudeste,0
Rio Claro,350046,254336.401807,-0.7968510095641245,sudeste,0
São José do Rio Pardo - Mococa,350047,184328.73395000002,-0.6701495011313379,sudeste,0
Amparo,350048,134997.72316000002,-0.6781913558384652,sudeste,0
São José dos Campos,350049,1120029.7724130002,0.2633501185194604,sudeste,0
Taubaté - Pindamonhangaba,350050,635333.6353699999,-0.6558288923939992,sudeste,0
Caraguatatuba - Ubatuba - São Sebastião,350051,352755.96024,0.4165807127041478,sudeste,0
Guaratinguetá,350052,319024.6375310001,-0.8886382274464998,sudeste,0
Cruzeiro,350053,164298.238741,-0.7436872589342328,sudeste,0
Curitiba,410001,3701074.1058279998,0.4193744165006182,sul,0
Paranaguá,410002,296718.57104999997,1.0014838461317386,sul,0
União da Vitória,410003,176669.499867,-1.0414732031332266,sul,0
Guarapuava,410004,349748.145659,-0.3957224718096485,sul,0
Pitanga,410005,76012.57095300002,-0.7819551176399648,sul,0
Cascavel,410006,529323.298461,0.8286680681712975,sul,0
Foz do Iguaçu,410007,375228.46436200006,2.310018814354116,sul,0
Toledo,410008,331688.265979,1.4285387493153383,sul,0
Francisco Beltrão,410009,277097.968703,0.5869877943232402,sul,1
Pato Branco,410010,270458.556094,0.6146341711222271,sul,0
Laranjeiras do Sul - Quedas do Iguaçu,410011,106521.717915,-0.5765026894281389,sul,0
Dois Vizinhos,410012,81702.464137,1.3017799484568155,sul,0
Marechal Cândido Rondon,410013,80130.80911600002,0.4055361667820185,sul,0
Maringá,410014,797099.27589,0.7965295908467688,sul,0
Campo Mourão,410015,313027.75322699995,-0.30428958798486777,sul,0
Umuarama,410016,289313.81824000005,0.331577373498378,sul,0
Paranavaí,410017,203037.00908999998,-0.2915570729256042,sul,0
Cianorte,410018,167377.66046400002,0.07057684442786048,sul,0
Paranacity - Colorado,410019,67520.631082,-0.18419346672709372,sul,0
Loanda,410020,60473.115481999994,-0.13484444380221483,sul,0
Londrina,410021,1101503.803679,0.6758562178165125,sul,0
Santo Antônio da Platina,410022,269124.432428,-0.3327527298683049,sul,0
Apucarana,410023,232009.5816550001,-0.4278906668717053,sul,0
Cornélio Procópio – Bandeirantes,410024,180868.896175,0.13381050304289152,sul,0
Ivaiporã,410025,134258.070138,-0.32311710903925195,sul,0
Ibaiti,410026,59299.566444,-0.33223797298521535,sul,0
Ponta Grossa,410027,643820.6111910001,0.2795673562557117,sul,0
